태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
(유)금강2호 태양광발전소,,경기도 이천시 장호원읍 와현리 3-1,,,,가동중단,499.5,380,60,2022,발전사업용,2019-01-14,이천시,,2023-06-05
(유)길강태양광발전소,,경기도 이천시 율면 고당리 산45-23,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)다복에너지 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)레나다,,경기도 안성시 일죽면 가리 67-5,,,,가동중단,99.4,380,60,2018,,2018-10-10,안성시,,2023-07-06
(유)백석 태양광발전소,,"경기도 연천군 미산면 백석리 283-2, 283-3",,,,정상가동,2000,22900,60,2019,발전사업용,,경기도,,2022-12-31
(유)시원이앤씨 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)신흥 태양광발전소,,"경기도 안성시 일죽면 신흥리 산7-2, 산7-4, 322-2, 15, 16, 17, 18, 19",,,,정상가동,1498,22900,60,2018,발전사업용,,경기도,,2022-12-31
(유)신흥2호 태양광발전소,,"경기도 안성시 일죽면 신흥리 25,26,27",,,,가동중단,498.96,380,60,2018,,2017-11-08,안성시,,2023-07-06
(유)용월2호 태양광발전소,,경기도 이천시 장호원읍 와현리 1-1,,,,가동중단,998.4,22900,60,2021,발전사업용,2018-12-19,이천시,,2023-06-05
(유)우림 태양광발전소,,경기도 이천시 율면 고당리 13-26,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)정명 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)정인태양광발전소,,경기도 이천시 율면 고당리 13-24,,,,가동중단,99.9,380,60,2021,발전사업용,2018-09-21,이천시,,2023-06-05
(유)정통 태양광발전소,,경기도 이천시 율면 신추리 931,,,,정상가동,997.92,22900,60,2019,발전사업용,2018-06-11,이천시,,2023-06-05
(유)청명에너지 태양광발전소,,경기도 이천시 장호원읍 와현리 47-1,,,,폐기,99.9,380,60,2020,발전사업용,2019-01-14,이천시,,2023-06-05
(유)태성티엔에스,,경기도 이천시 설성면 행죽리 702-2,,,,정상가동,99.83,380,60,2018,발전사업용,2017-10-31,이천시,,2023-06-05
(유)행죽태양광발전소,,"경기도 이천시 설성면 산131-1, 131-3, 639, 665-1, 665-3",,,,정상가동,1786,22900,60,2018,발전사업용,,경기도,,2022-12-31
(주)가산 태양광발전소,경기도 안양시 만안구 박달로 337-54 (박달동),경기도 안양시 만안구 박달동 613-7,,,,정상가동,150.75,380,60,2017,,2017-06-26,안양시,,2023-06-21
(주)경기이엔씨태양광발전소,경기도 오산시 외삼미로 60-25 (외삼미동),,37.1907101635,127.0610544192,옥상,정상가동,28,380,60,2021,발전사업용,2020-10-12,오산시,146,2023-05-25
(주)경남유리 태양광발전소,경기도 이천시 율면 금율로640번길 145-52,,,,,정상가동,78.1,380,60,2023,발전사업용,2022-12-22,이천시,,2023-06-05
(주)다사론 태양광발전소,"경기도 안양시 동안구 벌말로 72-13, 5층 (관양동)",경기도 안양시 동안구 관양동   922-14,,,,정상가동,19.36,380,60,2021,,2021-04-06,안양시,,2023-06-21
(주)대원 태양광발전소,,경기도 안성시 양성면 노곡리 759-1 (건물 위),,,,정상가동,109.48,380,60,2018,사업용,2018-04-17,안성시,,2023-07-06
(주)도드람바이오가스발전소,경기도 이천시 설성면 자석로76번길 43,,,,,정상가동,250,380,60,2015,발전사업용,2014-10-16,이천시,,2023-06-05
(주)로드솔라 태양광발전소,,경기도 이천시 장호원읍 와현리 58-11,,,,정상가동,997.92,22900,60,2020,발전사업용,2018-08-17,이천시,,2023-06-05
(주)미래영솔라 태양광발전소 11호,경기도 이천시 마장면 마도로 175,,,,,가동중단,499,22900,60,2019,발전사업용,2016-08-18,이천시,,2023-06-05
(주)부성 태양광발전소,,경기도 안성시 미양면 갈전리 7-4,,,,정상가동,3,220,60,2017,사업용,2017-05-11,안성시,,2023-07-06
(주)새시대 태양광발전소,경기도 이천시 호법면 안평로114번길 134,,,,,정상가동,369.6,380,60,2019,발전사업용,2018-09-28,이천시,,2023-06-05
(주)세진광 태양광발전소,,경기도 이천시 설성면 장능리 196-24,,,,정상가동,758.2,22900,60,2019,발전사업용,2018-07-12,이천시,,2023-06-05
(주)신갈에너지,,경기도 이천시 모가면 신갈리 349,,,,정상가동,492.75,380,60,2019,발전사업용,2019-01-23,이천시,,2023-06-05
(주)썬리취 태양광발전소,경기도 이천시 백사면 원적로618번길 241,,,,,정상가동,287.7,380,60,2017,발전사업용,2016-10-24,이천시,,2023-06-05
(주)씨에이치푸드,경기도 남양주시 오남읍 팔현로175번길 247-30,경기도 남양주시 오남읍 팔현리 48-3,,,,정상가동,29,380,60,2024,,2022-10-21,남양주시,,2023-06-02
(주)애니웰환경태양광발전소1호기,,,,,,정상가동,99.19,380,60,2021,발전사업용,2021-07-13,화성시,,2023-06-12
(주)애니웰환경태양광발전소2호기,,,,,,정상가동,99.65,380,60,2021,발전사업용,2021-07-13,화성시,,2023-06-12
(주)에디폴 태양광발전소,"경기도 안성시 죽산면 목동길 37 (6동,7동)",,,,,정상가동,46.08,380,60,2017,사업용,2017-05-12,안성시,,2023-07-06
(주)에디폴태양광발전소,,경기도 안성시 죽산면 당목리 641 (1동 지붕위),,,,정상가동,99.11,380,60,2014,사업용,2014-09-12,안성시,,2023-07-06
(주)에스아이판,,경기도 안성시 삼죽면 덕산리 808-13,,,,정상가동,418.08,380,60,2018,사업용,2018-10-29,안성시,,2023-07-06
(주)에스알인터내셔널 제2태양광발전소,경기도 이천시 백사면 원적로618번길 285,,,,,정상가동,499.2,380,60,2000,발전사업용,2016-07-08,이천시,,2023-06-05
(주)에스알인터내셔널 제3태양광발전소,경기도 이천시 백사면 원적로618번길 285,,,,,정상가동,997.92,22900,60,2018,발전사업용,2016-09-27,이천시,,2023-06-05
(주)우진냉장 태양광발전소,,경기도 안성시 미양면 개정리 210-2,,,,정상가동,499.32,380,60,2019,사업용,2019-05-16,안성시,,2023-07-06
(주)유진에너팜,경기도 남양주시 퇴계원읍 경춘북로 461,,,,,정상가동,190.32,380,60,2018,,2015-08-26,남양주시,,2023-06-02
(주)이마트 진접 태양광발전소,경기도 남양주시 진접읍 금강로유연들1길 154,,,,,정상가동,126,380,60,2019,,2016-07-27,남양주시,,2023-06-02
(주)이암 태양광발전소,,경기도 이천시 대월면 군량리 286-6,,,,가동중단,600,22900,60,2021,발전사업용,2018-09-14,이천시,,2023-06-05
(주)키움하우스,경기도 남양주시 진접읍 내각1로99번길 29,,,,,정상가동,45.9,380,60,2020,,2017-09-19,남양주시,,2023-06-02
(주)파랑태양광발전소,경기도 남양주시 진접읍 내각2로 54,경기도 남양주시 진접읍 내각리 165-75,,,,정상가동,151.88,380,60,2021,,2020-03-17,남양주시,,2023-06-02
(주)효성산업 태양광발전소,경기도 남양주시 진건읍 독정로솔숲길 14-33,경기도 남양주시 진건읍 용정리 231-12,,,,정상가동,99.36,380,60,2022,,2018-03-14,남양주시,,2023-06-02
*** 태양광발전소,,,,,,정상가동,30.6,380,60,2017,발전사업용,2017-01-19,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,2,380,60,2014,발전사업용,2014-08-06,화성시,,2023-06-12
*** 태양광발전소,,,,,,정상가동,499.72,380,60,2016,발전사업용,2016-07-22,화성시,,2023-06-12
